Trip_ID,Surge_Pricing_Type
T0005689459,2
T0005689462,2
T0005689463,2
T0005689466,2
T0005689468,2
T0005689471,2
T0005689476,2
T0005689478,2
T0005689480,2
T0005689481,2
T0005689483,2
T0005689488,2
T0005689489,2
T0005689490,2
T0005689494,2
T0005689495,2
T0005689499,2
T0005689500,2
T0005689511,2
T0005689512,2
T0005689514,2
T0005689518,2
T0005689524,2
T0005689526,2
T0005689527,2
T0005689528,2
T0005689531,2
T0005689535,2
T0005689540,2
T0005689541,2
T0005689549,2
T0005689550,2
T0005689552,2
T0005689555,2
T0005689557,2
T0005689560,2
T0005689563,2
T0005689565,2
T0005689572,2
T0005689575,2
T0005689579,2
T0005689580,2
T0005689585,2
T0005689587,2
T0005689588,2
T0005689589,2
T0005689593,2
T0005689594,2
T0005689596,2
T0005689599,2
T0005689601,2
T0005689603,2
T0005689604,2
T0005689606,2
T0005689607,2
T0005689609,2
T0005689610,2
T0005689614,2
T0005689615,2
T0005689617,2
T0005689618,2
T0005689619,2
T0005689621,2
T0005689626,2
T0005689628,2
T0005689630,2
T0005689633,2
T0005689638,2
T0005689640,2
T0005689641,2
T0005689642,2
T0005689644,2
T0005689645,2
T0005689647,2
T0005689649,2
T0005689650,2
T0005689653,2
T0005689659,2
T0005689660,2
T0005689668,2
T0005689672,2
T0005689677,2
T0005689679,2
T0005689680,2
T0005689681,2
T0005689684,2
T0005689685,2
T0005689686,2
T0005689689,2
T0005689693,2
T0005689694,2
T0005689696,2
T0005689697,2
T0005689698,2
T0005689706,2
T0005689709,2
T0005689710,2
T0005689712,2
T0005689713,2
T0005689714,2
T0005689716,2
T0005689720,2
T0005689721,2
T0005689724,2
T0005689727,2
T0005689728,2
T0005689729,2
T0005689731,2
T0005689735,2
T0005689737,2
T0005689739,2
T0005689740,2
T0005689741,2
T0005689745,2
T0005689748,2
T0005689749,2
T0005689750,2
T0005689751,2
T0005689753,2
T0005689755,2
T0005689761,2
T0005689762,2
T0005689765,2
T0005689769,2
T0005689772,2
T0005689773,2
T0005689774,2
T0005689775,2
T0005689777,2
T0005689778,2
T0005689783,2
T0005689784,2
T0005689787,2
T0005689793,2
T0005689795,2
T0005689799,2
T0005689801,2
T0005689802,2
T0005689804,2
T0005689806,2
T0005689807,2
T0005689808,2
T0005689811,2
T0005689812,2
T0005689814,2
T0005689815,2
T0005689817,2
T0005689818,2
T0005689819,2
T0005689825,2
T0005689826,2
T0005689828,2
T0005689830,2
T0005689832,2
T0005689833,2
T0005689840,2
T0005689841,2
T0005689843,2
T0005689846,2
T0005689851,2
T0005689855,2
T0005689858,2
T0005689861,2
T0005689862,2
T0005689864,2
T0005689865,2
T0005689866,2
T0005689868,2
T0005689870,2
T0005689871,2
T0005689874,2
T0005689877,2
T0005689881,2
T0005689884,2
T0005689886,2
T0005689887,2
T0005689888,2
T0005689890,2
T0005689895,2
T0005689902,2
T0005689908,2
T0005689909,2
T0005689910,2
T0005689915,2
T0005689916,2
T0005689917,2
T0005689920,2
T0005689921,2
T0005689922,2
T0005689924,2
T0005689925,2
T0005689928,2
T0005689930,2
T0005689933,2
T0005689936,2
T0005689937,2
T0005689938,2
T0005689939,2
T0005689942,2
T0005689946,2
T0005689951,2
T0005689959,2
T0005689963,2
T0005689966,2
T0005689969,2
T0005689971,2
T0005689975,2
T0005689984,2
T0005689985,2
T0005689989,2
T0005689990,2
T0005689991,2
T0005689994,2
T0005689995,2
T0005689996,2
T0005689999,2
T0005690004,2
T0005690010,2
T0005690013,2
T0005690018,2
T0005690019,2
T0005690020,2
T0005690024,2
T0005690027,2
T0005690029,2
T0005690035,2
T0005690039,2
T0005690041,2
T0005690042,2
T0005690044,2
T0005690045,2
T0005690049,2
T0005690051,2
T0005690057,2
T0005690059,2
T0005690061,2
T0005690062,2
T0005690065,2
T0005690066,2
T0005690067,2
T0005690068,2
T0005690070,2
T0005690074,2
T0005690078,2
T0005690086,2
T0005690087,2
T0005690090,2
T0005690092,2
T0005690097,2
T0005690098,2
T0005690099,2
T0005690105,2
T0005690107,2
T0005690111,2
T0005690112,2
T0005690115,2
T0005690116,2
T0005690117,2
T0005690118,2
T0005690119,2
T0005690120,2
T0005690124,2
T0005690125,2
T0005690126,2
T0005690127,2
T0005690130,2
T0005690132,2
T0005690134,2
T0005690136,2
T0005690138,2
T0005690139,2
T0005690140,2
T0005690141,2
T0005690144,2
T0005690145,2
T0005690148,2
T0005690152,2
T0005690156,2
T0005690159,2
T0005690160,2
T0005690161,2
T0005690163,2
T0005690164,2
T0005690165,2
T0005690166,2
T0005690167,2
T0005690170,2
T0005690172,2
T0005690175,2
T0005690178,2
T0005690179,2
T0005690181,2
T0005690183,2
T0005690185,2
T0005690186,2
T0005690187,2
T0005690188,2
T0005690191,2
T0005690192,2
T0005690196,2
T0005690197,2
T0005690199,2
T0005690200,2
T0005690205,2
T0005690211,2
T0005690213,2
T0005690217,2
T0005690219,2
T0005690222,2
T0005690224,2
T0005690228,2
T0005690230,2
T0005690231,2
T0005690232,2
T0005690235,2
T0005690236,2
T0005690238,2
T0005690240,2
T0005690242,2
T0005690243,2
T0005690245,2
T0005690251,2
T0005690254,2
T0005690266,2
T0005690268,2
T0005690269,2
T0005690271,2
T0005690272,2
T0005690277,2
T0005690287,2
T0005690288,2
T0005690290,2
T0005690297,2
T0005690298,2
T0005690302,2
T0005690303,2
T0005690304,2
T0005690308,2
T0005690310,2
T0005690311,2
T0005690317,2
T0005690319,2
T0005690320,2
T0005690323,2
T0005690324,2
T0005690325,2
T0005690326,2
T0005690327,2
T0005690332,2
T0005690341,2
T0005690342,2
T0005690345,2
T0005690347,2
T0005690349,2
T0005690350,2
T0005690351,2
T0005690353,2
T0005690354,2
T0005690356,2
T0005690365,2
T0005690368,2
T0005690377,2
T0005690378,2
T0005690381,2
T0005690382,2
T0005690386,2
T0005690387,2
T0005690388,2
T0005690390,2
T0005690392,2
T0005690393,2
T0005690394,2
T0005690395,2
T0005690396,2
T0005690397,2
T0005690406,2
T0005690407,2
T0005690412,2
T0005690414,2
T0005690415,2
T0005690416,2
T0005690417,2
T0005690418,2
T0005690420,2
T0005690425,2
T0005690427,2
T0005690430,2
T0005690432,2
T0005690437,2
T0005690439,2
T0005690446,2
T0005690447,2
T0005690452,2
T0005690453,2
T0005690454,2
T0005690456,2
T0005690462,2
T0005690463,2
T0005690464,2
T0005690465,2
T0005690466,2
T0005690469,2
T0005690470,2
T0005690471,2
T0005690472,2
T0005690474,2
T0005690476,2
T0005690477,2
T0005690483,2
T0005690484,2
T0005690485,2
T0005690486,2
T0005690495,2
T0005690498,2
T0005690499,2
T0005690502,2
T0005690509,2
T0005690510,2
T0005690512,2
T0005690516,2
T0005690521,2
T0005690522,2
T0005690524,2
T0005690527,2
T0005690528,2
T0005690529,2
T0005690530,2
T0005690531,2
T0005690539,2
T0005690542,2
T0005690544,2
T0005690546,2
T0005690552,2
T0005690553,2
T0005690554,2
T0005690555,2
T0005690557,2
T0005690571,2
T0005690580,2
T0005690581,2
T0005690583,2
T0005690586,2
T0005690587,2
T0005690593,2
T0005690595,2
T0005690598,2
T0005690602,2
T0005690612,2
T0005690613,2
T0005690620,2
T0005690622,2
T0005690625,2
T0005690627,2
T0005690629,2
T0005690633,2
T0005690635,2
T0005690636,2
T0005690639,2
T0005690640,2
T0005690642,2
T0005690643,2
T0005690647,2
T0005690649,2
T0005690652,2
T0005690653,2
T0005690654,2
T0005690657,2
T0005690662,2
T0005690663,2
T0005690665,2
T0005690666,2
T0005690674,2
T0005690675,2
T0005690677,2
T0005690680,2
T0005690681,2
T0005690683,2
T0005690684,2
T0005690691,2
T0005690692,2
T0005690696,2
T0005690698,2
T0005690700,2
T0005690703,2
T0005690706,2
T0005690710,2
T0005690716,2
T0005690717,2
T0005690719,2
T0005690726,2
T0005690731,2
T0005690733,2
T0005690736,2
T0005690740,2
T0005690742,2
T0005690745,2
T0005690746,2
T0005690753,2
T0005690755,2
T0005690756,2
T0005690761,2
T0005690767,2
T0005690769,2
T0005690770,2
T0005690774,2
T0005690776,2
T0005690778,2
T0005690779,2
T0005690781,2
T0005690785,2
T0005690787,2
T0005690788,2
T0005690790,2
T0005690794,2
T0005690796,2
T0005690798,2
T0005690809,2
T0005690810,2
T0005690813,2
T0005690814,2
T0005690816,2
T0005690817,2
T0005690818,2
T0005690820,2
T0005690822,2
T0005690824,2
T0005690826,2
T0005690833,2
T0005690838,2
T0005690846,2
T0005690847,2
T0005690849,2
T0005690852,2
T0005690854,2
T0005690856,2
T0005690857,2
T0005690860,2
T0005690861,2
T0005690862,2
T0005690863,2
T0005690865,2
T0005690868,2
T0005690880,2
T0005690882,2
T0005690884,2
T0005690889,2
T0005690893,2
T0005690894,2
T0005690895,2
T0005690896,2
T0005690898,2
T0005690899,2
T0005690902,2
T0005690903,2
T0005690904,2
T0005690905,2
T0005690906,2
T0005690908,2
T0005690910,2
T0005690915,2
T0005690917,2
T0005690918,2
T0005690924,2
T0005690925,2
T0005690926,2
T0005690927,2
T0005690928,2
T0005690929,2
T0005690931,2
T0005690932,2
T0005690935,2
T0005690939,2
T0005690940,2
T0005690941,2
T0005690943,2
T0005690946,2
T0005690951,2
T0005690952,2
T0005690954,2
T0005690955,2
T0005690959,2
T0005690960,2
T0005690961,2
T0005690962,2
T0005690964,2
T0005690965,2
T0005690970,2
T0005690974,2
T0005690975,2
T0005690976,2
T0005690977,2
T0005690978,2
T0005690980,2
T0005690981,2
T0005690982,2
T0005690983,2
T0005690987,2
T0005690988,2
T0005690989,2
T0005690990,2
T0005690991,2
T0005690992,2
T0005691005,2
T0005691009,2
T0005691010,2
T0005691011,2
T0005691016,2
T0005691017,2
T0005691023,2
T0005691024,2
T0005691025,2
T0005691028,2
T0005691031,2
T0005691033,2
T0005691034,2
T0005691036,2
T0005691037,2
T0005691038,2
T0005691041,2
T0005691048,2
T0005691051,2
T0005691052,2
T0005691054,2
T0005691057,2
T0005691058,2
T0005691060,2
T0005691061,2
T0005691062,2
T0005691063,2
T0005691065,2
T0005691066,2
T0005691073,2
T0005691077,2
T0005691079,2
T0005691080,2
T0005691086,2
T0005691087,2
T0005691088,2
T0005691089,2
T0005691092,2
T0005691094,2
T0005691095,2
T0005691102,2
T0005691104,2
T0005691113,2
T0005691116,2
T0005691120,2
T0005691124,2
T0005691128,2
T0005691130,2
T0005691131,2
T0005691136,2
T0005691140,2
T0005691141,2
T0005691143,2
T0005691145,2
T0005691146,2
T0005691147,2
T0005691148,2
T0005691153,2
T0005691156,2
T0005691159,2
T0005691160,2
T0005691161,2
T0005691166,2
T0005691168,2
T0005691173,2
T0005691174,2
T0005691176,2
T0005691181,2
T0005691183,2
T0005691187,2
T0005691193,2
T0005691194,2
T0005691195,2
T0005691197,2
T0005691198,2
T0005691199,2
T0005691200,2
T0005691201,2
T0005691206,2
T0005691207,2
T0005691210,2
T0005691211,2
T0005691213,2
T0005691216,2
T0005691217,2
T0005691220,2
T0005691225,2
T0005691230,2
T0005691231,2
T0005691234,2
T0005691238,2
T0005691239,2
T0005691240,2
T0005691244,2
T0005691245,2
T0005691247,2
T0005691253,2
T0005691256,2
T0005691257,2
T0005691258,2
T0005691259,2
T0005691265,2
T0005691266,2
T0005691269,2
T0005691270,2
T0005691272,2
T0005691274,2
T0005691275,2
T0005691278,2
T0005691280,2
T0005691284,2
T0005691285,2
T0005691286,2
T0005691287,2
T0005691288,2
T0005691289,2
T0005691290,2
T0005691292,2
T0005691293,2
T0005691294,2
T0005691296,2
T0005691297,2
T0005691299,2
T0005691300,2
T0005691302,2
T0005691304,2
T0005691307,2
T0005691309,2
T0005691310,2
T0005691311,2
T0005691312,2
T0005691313,2
T0005691315,2
T0005691319,2
T0005691320,2
T0005691321,2
T0005691323,2
T0005691325,2
T0005691327,2
T0005691329,2
T0005691331,2
T0005691332,2
T0005691334,2
T0005691335,2
T0005691339,2
T0005691340,2
T0005691343,2
T0005691345,2
T0005691346,2
T0005691352,2
T0005691353,2
T0005691356,2
T0005691359,2
T0005691362,2
T0005691366,2
T0005691367,2
T0005691378,2
T0005691380,2
T0005691381,2
T0005691382,2
T0005691384,2
T0005691388,2
T0005691389,2
T0005691391,2
T0005691392,2
T0005691394,2
T0005691396,2
T0005691397,2
T0005691399,2
T0005691401,2
T0005691403,2
T0005691404,2
T0005691406,2
T0005691407,2
T0005691408,2
T0005691410,2
T0005691413,2
T0005691416,2
T0005691420,2
T0005691421,2
T0005691422,2
T0005691423,2
T0005691424,2
T0005691426,2
T0005691427,2
T0005691437,2
T0005691440,2
T0005691442,2
T0005691447,2
T0005691448,2
T0005691450,2
T0005691451,2
T0005691453,2
T0005691457,2
T0005691462,2
T0005691463,2
T0005691466,2
T0005691475,2
T0005691476,2
T0005691477,2
T0005691479,2
T0005691482,2
T0005691489,2
T0005691491,2
T0005691498,2
T0005691501,2
T0005691503,2
T0005691505,2
T0005691506,2
T0005691511,2
T0005691514,2
T0005691515,2
T0005691516,2
T0005691519,2
T0005691521,2
T0005691522,2
T0005691526,2
T0005691528,2
T0005691535,2
T0005691547,2
T0005691548,2
T0005691551,2
T0005691553,2
T0005691555,2
T0005691556,2
T0005691559,2
T0005691562,2
T0005691563,2
T0005691566,2
T0005691569,2
T0005691571,2
T0005691573,2
T0005691575,2
T0005691576,2
T0005691579,2
T0005691580,2
T0005691582,2
T0005691585,2
T0005691593,2
T0005691594,2
T0005691597,2
T0005691598,2
T0005691601,2
T0005691602,2
T0005691603,2
T0005691604,2
T0005691605,2
T0005691607,2
T0005691610,2
T0005691611,2
T0005691614,2
T0005691617,2
T0005691618,2
T0005691622,2
T0005691623,2
T0005691624,2
T0005691627,2
T0005691631,2
T0005691635,2
T0005691637,2
T0005691638,2
T0005691639,2
T0005691642,2
T0005691647,2
T0005691650,2
T0005691652,2
T0005691653,2
T0005691661,2
T0005691662,2
T0005691663,2
T0005691664,2
T0005691665,2
T0005691666,2
T0005691668,2
T0005691674,2
T0005691676,2
T0005691679,2
T0005691680,2
T0005691683,2
T0005691686,2
T0005691688,2
T0005691690,2
T0005691694,2
T0005691698,2
T0005691699,2
T0005691702,2
T0005691708,2
T0005691709,2
T0005691710,2
T0005691711,2
T0005691714,2
T0005691716,2
T0005691718,2
T0005691724,2
T0005691729,2
T0005691738,2
T0005691743,2
T0005691747,2
T0005691748,2
T0005691751,2
T0005691752,2
T0005691772,2
T0005691773,2
T0005691777,2
T0005691781,2
T0005691783,2
T0005691788,2
T0005691791,2
T0005691794,2
T0005691795,2
T0005691797,2
T0005691799,2
T0005691801,2
T0005691802,2
T0005691803,2
T0005691807,2
T0005691808,2
T0005691810,2
T0005691811,2
T0005691814,2
T0005691815,2
T0005691817,2
T0005691819,2
T0005691820,2
T0005691822,2
T0005691824,2
T0005691828,2
T0005691830,2
T0005691832,2
T0005691834,2
T0005691835,2
T0005691837,2
T0005691847,2
T0005691848,2
T0005691853,2
